date,buy_date,model,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,equity
2025-08-12,2025-08-11,ZeroGraph,10,10,-0.002095764555037022,-0.003295764555037022,0.0001,0.0011,0.0012000000000000001,1,1.3449726465307152
2025-08-13,2025-08-12,ZeroGraph,10,10,0.0031731217801570883,0.0019731217801570882,0.0001,0.0011,0.0012000000000000001,1,1.3476264413533006
2025-08-14,2025-08-13,ZeroGraph,10,10,-0.00039856738597154656,-0.0015985673859715468,0.0001,0.0011,0.0012000000000000001,1,1.3454721696756804
2025-08-15,2025-08-14,ZeroGraph,10,10,-0.0002497584521770476,-0.0014497584521770478,0.0001,0.0011,0.0012000000000000001,1,1.343521560025524
2025-08-18,2025-08-15,ZeroGraph,10,10,0.006005083471536637,0.004805083471536636,0.0001,0.0011,0.0012000000000000001,1,1.3499772932672558
2025-08-19,2025-08-18,ZeroGraph,10,10,-0.0005918182730674747,-0.0017918182730674748,0.0001,0.0011,0.0012000000000000001,1,1.3475583792849533
2025-08-20,2025-08-19,ZeroGraph,10,10,0.003768292874097824,0.002568292874097824,0.0001,0.0011,0.0012000000000000001,1,1.3510193038679015
2025-08-21,2025-08-20,ZeroGraph,10,10,-0.0033203696496784695,-0.00452036964967847,0.0001,0.0011,0.0012000000000000001,1,1.3449121972105673
2025-08-22,2025-08-21,ZeroGraph,10,10,-2.1059967577457388e-05,-0.0012210599675774574,0.0001,0.0011,0.0012000000000000001,1,1.3432699787666469
2025-08-25,2025-08-22,ZeroGraph,10,10,0.0077927510030567654,0.006592751003056766,0.0001,0.0011,0.0012000000000000001,1,1.3521258232665367
2025-08-26,2025-08-25,ZeroGraph,10,10,0.005715236067771911,0.00451523606777191,0.0001,0.0011,0.0012000000000000001,1,1.3582309905519154
2025-08-27,2025-08-26,ZeroGraph,10,10,0.00509975489974022,0.0038997548997402195,0.0001,0.0011,0.0012000000000000001,1,1.3635277585122991
2025-08-28,2025-08-27,ZeroGraph,10,10,-0.0009516155272722246,-0.002151615527272225,0.0001,0.0011,0.0012000000000000001,1,1.3605939710152173
2025-08-29,2025-08-28,ZeroGraph,10,10,0.0060439139381051055,0.004843913938105106,0.0001,0.0011,0.0012000000000000001,1,1.3671845711155197
2025-09-01,2025-08-29,ZeroGraph,10,10,0.004700299087911844,0.003500299087911844,0.0001,0.0011,0.0012000000000000001,1,1.3719701260228025
2025-09-02,2025-09-01,ZeroGraph,10,10,-4.412915557622894e-05,-0.001244129155576229,0.0001,0.0011,0.0012000000000000001,1,1.370263217988438
2025-09-03,2025-09-02,ZeroGraph,10,10,0.0007281586602330207,-0.0004718413397669794,0.0001,0.0011,0.0012000000000000001,1,1.3696166711558289
2025-09-04,2025-09-03,ZeroGraph,10,10,-0.00047362886369228357,-0.0016736288636922836,0.0001,0.0011,0.0012000000000000001,1,1.3673244411627883
2025-09-05,2025-09-04,ZeroGraph,10,10,0.003498672068119049,0.002298672068119049,0.0001,0.0011,0.0012000000000000001,1,1.3704674716637457
2025-09-08,2025-09-05,ZeroGraph,10,10,0.002865021906793116,0.001665021906793116,0.0001,0.0011,0.0012000000000000001,1,1.3727493300266131
2025-09-09,2025-09-08,ZeroGraph,10,10,-0.0014631321206688879,-0.002663132120668888,0.0001,0.0011,0.0012000000000000001,1,1.3690935171921925
2025-09-10,2025-09-09,ZeroGraph,10,10,0.005580338921397925,0.004380338921397924,0.0001,0.0011,0.0012000000000000001,1,1.375090610812583
2025-09-11,2025-09-10,ZeroGraph,10,10,-0.0003990989327430724,-0.0015990989327430726,0.0001,0.0011,0.0012000000000000001,1,1.3728917048844076
2025-09-12,2025-09-11,ZeroGraph,10,10,0.007749159097671508,0.006549159097671509,0.0001,0.0011,0.0012000000000000001,1,1.3818829910835693
2025-09-15,2025-09-12,ZeroGraph,10,10,0.0009871095493435857,-0.0002128904506564144,0.0001,0.0011,0.0012000000000000001,1,1.381588801390843
2025-09-16,2025-09-15,ZeroGraph,10,10,0.0023502321168780327,0.0011502321168780326,0.0001,0.0011,0.0012000000000000001,1,1.3831779492025216
2025-09-17,2025-09-16,ZeroGraph,10,10,0.00047284780442714695,-0.0007271521955728532,0.0001,0.0011,0.0012000000000000001,1,1.382172168319891
2025-09-18,2025-09-17,ZeroGraph,10,10,0.0014738534837961197,0.0002738534837961196,0.0001,0.0011,0.0012000000000000001,1,1.3825506809833914
2025-09-19,2025-09-18,ZeroGraph,10,10,0.00037464811652898795,-0.0008253518834710122,0.0001,0.0011,0.0012000000000000001,1,1.3814095901748475
2025-09-22,2025-09-19,ZeroGraph,10,10,-0.002994340509176254,-0.0041943405091762545,0.0001,0.0011,0.0012000000000000001,1,1.3756154879710127
2025-09-23,2025-09-22,ZeroGraph,10,10,0.0005517342537641525,-0.0006482657462358476,0.0001,0.0011,0.0012000000000000001,1,1.3747237235701695
2025-09-24,2025-09-23,ZeroGraph,10,10,-9.971560537815069e-05,-0.0012997156053781507,0.0001,0.0011,0.0012000000000000001,1,1.3729369736935617
